"country" "taxRich" "religiousLaw" "freeElection" "helpUnemp" "armyTakesOver" "civilRights" "equalIncome" "obeyRulers" "genderEquality" "importance"
"105" "Belarus" 7 3 9 8 6 8 4 6 6 6
"106" "Belarus" 5 2 7 5 3 10 4 7 8 8
"107" "Belarus" 5 2 10 9 5 2 2 3 9 10
"108" "Belarus" 8 3 10 2 10 1 3 6 2 5
"109" "Belarus" 5 1 10 8 6 10 5 6 10 10
"110" "Belarus" 5 1 10 8 2 10 9 7 9 10
"111" "Belarus" 4 3 7 9 8 9 7 6 9 10
"112" "Belarus" 5 3 10 9 6 9 4 2 8 6
"113" "Belarus" 10 1 10 10 2 9 8 2 10 9
"114" "Belarus" 8 7 8 7 6 7 6 2 9 10
"115" "Belarus" 10 10 10 10 10 10 10 10 10 10
"116" "Belarus" 5 1 10 6 4 10 4 1 9 10
"117" "Belarus" 3 3 9 8 1 9 5 4 6 10
"118" "Belarus" 1 1 10 8 1 10 9 1 10 5
"119" "Belarus" 5 3 10 8 1 9 5 3 7 6
"120" "Belarus" 8 8 9 5 5 8 7 5 8 8
"121" "Belarus" 1 1 10 7 1 1 10 1 10 10
"122" "Belarus" 3 1 10 8 1 10 5 5 10 9
"123" "Belarus" 3 3 10 8 1 9 6 2 7 5
"124" "Belarus" 3 1 10 9 1 8 3 5 1 8
"125" "Belarus" 3 3 10 8 1 8 5 2 5 7
"126" "Belarus" 6 1 10 10 5 10 10 5 10 10
"127" "Belarus" 10 5 10 10 5 10 10 4 10 10
"128" "Belarus" 10 1 10 10 7 10 10 5 10 7
"129" "Belarus" 10 1 10 10 5 10 10 6 10 7
"130" "Belarus" 10 1 10 10 8 10 10 5 10 2
"131" "Belarus" 8 5 10 10 4 10 10 7 10 5
"132" "Belarus" 2 10 1 8 2 7 10 7 10 8
"133" "Belarus" 7 5 9 1 5 5 9 2 10 8
"134" "Belarus" 5 3 10 10 4 5 10 3 10 7
"135" "Belarus" 3 2 8 4 1 4 2 2 7 6
"136" "Belarus" 3 2 3 4 3 2 2 3 5 7
"137" "Belarus" 4 3 5 4 3 4 5 4 5 6
"138" "Belarus" 5 2 8 8 2 2 4 3 9 9
"139" "Belarus" 3 2 9 9 2 7 3 3 8 8
"140" "Belarus" 5 3 7 7 2 7 8 3 8 10
"141" "Belarus" 4 2 7 4 1 5 5 4 6 8
"142" "Belarus" 4 3 4 3 3 4 3 3 4 7
"143" "Belarus" 1 1 10 7 1 6 5 4 10 6
"144" "Belarus" 1 1 8 3 2 5 5 3 6 7
"145" "Belarus" 6 3 10 10 8 10 10 1 1 10
"146" "Belarus" 1 3 10 5 1 10 10 1 10 9
"147" "Belarus" 10 4 10 10 6 10 7 7 10 10
"148" "Belarus" 3 6 9 9 8 8 8 6 9 10
"149" "Belarus" 5 2 10 7 2 10 4 3 10 9
"150" "Belarus" 10 1 10 1 3 10 4 1 10 10
"151" "Belarus" 5 5 9 6 4 9 4 6 9 5
"152" "Belarus" 1 1 10 1 1 9 3 10 8 1
"153" "Belarus" 3 1 8 5 2 9 5 5 9 8
"154" "Belarus" 1 4 10 1 1 10 1 10 10 7
"155" "Belarus" 10 5 10 10 1 10 9 5 10 10
"156" "Belarus" 5 5 10 10 5 10 9 9 10 10
"157" "Belarus" 10 1 10 10 1 10 8 5 10 10
"158" "Belarus" 9 3 10 8 1 10 5 5 10 10
"159" "Belarus" 10 5 5 5 1 9 5 5 10 10
"160" "Belarus" 10 1 9 9 9 10 5 5 5 10
"161" "Belarus" 10 1 6 7 6 7 8 5 10 10
"162" "Belarus" 10 1 10 5 1 10 2 5 10 10
"163" "Belarus" 2 9 2 9 5 9 5 8 2 10
"164" "Belarus" 10 1 10 10 5 10 10 9 10 10
"165" "Belarus" 9 1 10 10 2 8 2 5 10 9
"166" "Belarus" 7 1 10 8 3 10 2 7 10 10
"167" "Belarus" 7 2 10 10 1 10 5 8 10 9
"168" "Belarus" 6 1 10 8 2 9 6 3 10 8
"169" "Belarus" 7 3 10 9 1 10 7 3 10 10
"170" "Belarus" 6 1 10 10 1 10 5 3 10 5
"171" "Belarus" 9 3 10 10 4 10 8 7 10 10
"172" "Belarus" 5 1 10 10 4 10 6 5 10 9
"173" "Belarus" 7 2 10 8 2 9 10 8 10 10
"174" "Belarus" 7 1 10 10 3 10 7 6 10 10
"175" "Belarus" 3 3 10 10 5 10 7 9 10 10
"176" "Belarus" 5 2 10 9 2 9 9 9 9 10
"177" "Belarus" 9 5 8 8 8 9 5 8 10 10
"178" "Belarus" 2 2 10 2 2 10 5 9 10 10
"179" "Belarus" 2 2 10 10 2 10 9 9 9 10
"180" "Belarus" 5 5 5 5 6 5 5 5 5 10
"181" "Belarus" 4 3 10 9 5 10 8 9 10 10
"182" "Belarus" 9 8 10 10 1 10 9 10 10 10
"183" "Belarus" 9 5 10 10 9 9 7 5 10 9
"184" "Belarus" 5 2 10 7 8 10 5 6 9 10
"185" "Belarus" 9 3 9 9 3 9 9 9 10 8
"186" "Belarus" 8 5 10 9 4 8 8 6 8 8
"187" "Belarus" 6 2 8 10 5 4 5 6 10 10
"188" "Belarus" 5 3 8 7 3 5 6 6 9 9
"189" "Belarus" 5 3 10 7 3 5 6 6 10 9
"190" "Belarus" 9 4 9 9 4 8 9 9 10 5
"191" "Belarus" 8 2 9 8 3 8 9 8 10 5
"192" "Belarus" 3 6 3 2 7 4 3 4 10 6
"193" "Belarus" 3 1 10 5 5 9 5 6 10 6
