"country","taxRich","religiousLaw","freeElection","helpUnemp","armyTakesOver","civilRights","equalIncome","obeyRulers","genderEquality","importance"
"Estonia",5,3,10,8,1,9,5,5,9,10
"Estonia",8,4,5,6,6,3,5,6,2,5
"Estonia",3,1,10,10,1,10,4,7,9,10
"Estonia",9,1,10,10,1,10,7,1,9,5
"Estonia",4,8,7,3,9,6,10,5,10,7
"Estonia",7,5,7,5,9,7,5,7,8,8
"Estonia",3,3,8,5,1,10,8,2,8,10
"Estonia",1,1,10,5,2,8,2,4,4,10
"Estonia",5,1,10,5,5,10,5,5,5,10
"Estonia",7,3,10,8,2,10,1,1,9,10
"Estonia",2,2,10,8,8,9,6,8,8,10
"Estonia",7,3,8,7,3,8,7,4,9,9
"Estonia",5,1,10,1,1,10,1,10,10,9
"Estonia",10,6,7,9,7,8,6,6,9,9
"Estonia",9,2,10,9,1,5,9,6,10,10
"Estonia",4,4,8,8,7,8,4,2,9,9
"Estonia",7,3,10,10,1,10,7,1,10,10
"Estonia",3,1,9,5,1,5,2,1,10,9
"Estonia",3,1,10,8,1,5,2,2,9,10
"Estonia",1,1,2,2,10,3,3,3,1,4
"Estonia",7,2,8,8,9,8,6,7,7,10
"Estonia",5,7,8,7,7,7,8,8,7,9
"Estonia",5,2,10,10,8,10,5,5,10,10
"Estonia",10,4,10,10,1,10,8,3,10,10
"Estonia",5,1,10,6,1,7,5,7,9,5
"Estonia",7,1,10,5,1,10,6,6,8,8
"Estonia",7,1,10,8,1,7,7,7,9,6
"Estonia",9,4,9,10,3,9,10,8,9,5
"Estonia",8,4,10,10,1,10,10,1,6,8
"Estonia",8,2,7,9,6,8,8,7,9,8
"Estonia",6,6,6,8,6,6,6,9,9,9
"Estonia",4,2,9,7,1,8,4,1,5,10
"Estonia",10,1,10,10,2,10,10,1,5,7
"Estonia",9,8,9,8,8,9,9,9,9,9
"Estonia",9,8,10,9,8,8,9,9,10,9
"Estonia",1,1,10,10,1,10,1,5,10,10
"Estonia",4,5,5,5,1,5,5,10,10,8
"Estonia",8,2,8,8,8,5,8,9,9,7
"Estonia",6,3,6,8,4,8,4,4,9,9
"Estonia",6,1,10,10,2,8,8,6,10,10
"Estonia",7,1,10,7,1,10,6,6,9,6
"Estonia",8,1,10,9,1,10,6,8,10,8
"Estonia",7,3,9,9,1,8,6,6,6,7
"Estonia",5,1,10,10,5,10,5,5,10,8
"Estonia",7,1,10,9,5,8,2,6,10,9
"Estonia",2,1,10,3,1,10,2,1,8,10
"Estonia",6,1,1,10,4,2,10,5,10,5
"Estonia",4,2,10,8,8,9,3,1,10,9
"Estonia",7,1,10,10,2,10,5,8,10,10
"Estonia",7,4,7,8,4,5,7,4,8,8
"Estonia",7,4,10,10,3,10,10,8,10,8
"Estonia",4,8,10,8,2,6,6,3,10,10
"Estonia",5,4,10,10,1,5,9,2,10,10
"Estonia",10,6,4,10,8,9,10,4,9,9
"Estonia",5,3,8,8,8,8,6,7,9,7
"Estonia",5,1,10,10,5,10,10,6,10,10
"Estonia",4,4,9,3,1,8,3,1,6,7
"Estonia",10,8,10,10,1,9,7,3,10,10
"Estonia",8,2,9,9,2,9,6,4,9,9
"Estonia",5,1,7,6,1,6,3,1,10,9
"Estonia",6,1,9,7,8,9,4,2,10,10
"Estonia",8,1,10,9,5,8,5,7,9,10
"Estonia",3,2,5,9,9,8,9,5,10,8
"Estonia",10,6,7,10,2,9,10,4,10,6
"Estonia",5,1,10,8,1,10,4,1,10,10
"Estonia",10,2,10,10,1,10,10,3,10,9
"Estonia",8,1,10,8,2,7,4,2,10,10
"Estonia",9,5,5,10,2,8,8,3,10,10
"Estonia",9,3,10,8,10,9,7,10,10,10
"Estonia",10,3,10,10,1,10,10,8,10,10
"Estonia",1,1,10,1,1,10,10,8,4,10
"Estonia",8,9,10,9,1,10,7,8,10,10
"Estonia",8,3,10,10,3,10,6,3,10,8
"Estonia",6,5,6,6,5,6,6,6,6,6
"Estonia",10,1,10,10,1,10,10,1,10,10
"Estonia",5,2,7,8,4,6,8,5,9,7
"Estonia",8,6,10,7,4,9,6,7,10,9
"Estonia",8,3,8,9,3,2,8,4,9,7
"Estonia",2,1,10,2,1,9,2,4,9,10
"Estonia",8,1,10,8,1,10,1,1,10,10
"Estonia",6,3,10,9,2,9,6,6,9,8
"Estonia",1,1,10,10,10,10,7,2,8,10
"Estonia",8,2,10,9,8,8,6,8,8,8
"Estonia",8,1,10,8,1,10,1,1,10,10
"Estonia",5,1,10,5,1,8,5,8,9,9
